testcase,total,workers,success_rate,rps
testcase1.txt,1000,100,,13.21
testcase2.txt,1000,100,,432.69
testcase3.txt,1000,100,,467.35
testcase4.txt,1000,100,,19.72
testcase5.txt,1000,100,,28.03
testcase6.txt,1000,100,,21032.71
testcase7.txt,1000,100,,21369.35
testcase8.txt,1000,100,,42.29
testcase9.txt,1000,100,,16241.94
testcase10.txt,1000,100,,14942.55
testcase1.txt,1000,200,,12.32
testcase2.txt,1000,200,,343.11
testcase3.txt,1000,200,,265.60
testcase4.txt,1000,200,,17.64
testcase5.txt,1000,200,,22.39
testcase6.txt,1000,200,,21557.76
testcase7.txt,1000,200,,19577.90
testcase8.txt,1000,200,,25.86
testcase9.txt,1000,200,,15864.96
testcase10.txt,1000,200,,15862.19
testcase1.txt,3000,500,,
testcase2.txt,3000,500,,
testcase3.txt,3000,500,,
testcase4.txt,3000,500,,
testcase5.txt,3000,500,,
testcase6.txt,3000,500,,390.13
testcase7.txt,3000,500,,20955.87
testcase8.txt,3000,500,,
testcase9.txt,3000,500,,536.54
testcase10.txt,3000,500,,20010.01
testcase1.txt,5000,1000,,
testcase2.txt,5000,1000,,
testcase3.txt,5000,1000,,
testcase4.txt,5000,1000,,
testcase5.txt,5000,1000,,
testcase6.txt,5000,1000,,810.92
testcase7.txt,3000,500,,20125.99
testcase8.txt,3000,500,,
testcase9.txt,3000,500,,615.23
testcase10.txt,3000,500,,762.08
